:TYPE,:START_ID(Person),rank:long,:END_ID(Person)
RANKED,11, 10, 7826
RANKED,11, 11, 4282
RANKED,12, 0, 273
RANKED,12, 1, 9367
RANKED,12, 2, 4248
RANKED,12, 3, 4804
RANKED,12, 4, 3968
RANKED,12, 5, 3075
RANKED,13, 0, 2734
RANKED,13, 1, 2229
RANKED,13, 2, 7484
RANKED,13, 3, 4901
RANKED,13, 4, 1451
RANKED,14, 0, 5556
RANKED,14, 1, 9168
RANKED,14, 2, 3674
RANKED,14, 3, 6174
RANKED,14, 4, 8557
RANKED,14, 5, 121
RANKED,14, 6, 6875
RANKED,15, 0, 6777
RANKED,15, 1, 2589
RANKED,15, 2, 6867
RANKED,15, 3, 5572
RANKED,15, 4, 7660
RANKED,15, 5, 2907
RANKED,15, 6, 7479
RANKED,15, 7, 5186
RANKED,15, 8, 6914
RANKED,15, 9, 613
RANKED,15, 10, 7818
RANKED,15, 11, 9941
RANKED,15, 12, 6858
RANKED,15, 13, 4136
RANKED,15, 14, 4801
RANKED,16, 0, 1836
RANKED,16, 1, 15
RANKED,17, 0, 5683
RANKED,18, 0, 6445
RANKED,18, 1, 8016
RANKED,18, 2, 8025
RANKED,18, 3, 40
RANKED,18, 4, 5112
RANKED,19, 0, 8502
RANKED,19, 1, 7928
RANKED,19, 2, 7436
RANKED,19, 3, 635
RANKED,19, 4, 4438
RANKED,19, 5, 1746
RANKED,19, 6, 3935
RANKED,19, 7, 8302
RANKED,19, 8, 7237
RANKED,20, 0, 1984
RANKED,20, 1, 4406
RANKED,20, 2, 7398
RANKED,20, 3, 5555
RANKED,20, 4, 2145
RANKED,20, 5, 1295
RANKED,20, 6, 4864
RANKED,20, 7, 4910
RANKED,21, 0, 4738
RANKED,21, 1, 7885
RANKED,21, 2, 6924
RANKED,21, 3, 260
RANKED,21, 4, 8025
RANKED,22, 0, 4651
RANKED,22, 1, 1672
RANKED,22, 2, 6769
RANKED,22, 3, 3535
RANKED,22, 4, 9973
RANKED,22, 5, 4983
RANKED,22, 6, 8827
RANKED,22, 7, 8814
RANKED,22, 8, 2774
RANKED,22, 9, 5428
RANKED,22, 10, 1451
RANKED,22, 11, 542
RANKED,22, 12, 9788
RANKED,23, 0, 9627
RANKED,23, 1, 5913
RANKED,23, 2, 237
RANKED,23, 3, 4733
RANKED,23, 4, 7740
RANKED,23, 5, 8120
RANKED,23, 6, 7794
RANKED,23, 7, 9585
RANKED,23, 8, 1957
RANKED,23, 9, 5677
RANKED,24, 0, 4319
RANKED,24, 1, 3712
RANKED,24, 2, 9638
RANKED,24, 3, 316
RANKED,24, 4, 3675
RANKED,24, 5, 8553
RANKED,25, 0, 5954
RANKED,25, 1, 1608
RANKED,25, 2, 6877
RANKED,26, 0, 8901
RANKED,26, 1, 9211
RANKED,26, 2, 649
RANKED,27, 0, 6996
RANKED,27, 1, 4966
RANKED,27, 2, 4186
RANKED,27, 3, 3667
RANKED,27, 4, 2212
RANKED,27, 5, 6339
RANKED,27, 6, 5237
RANKED,27, 7, 9543
RANKED,28, 0, 8570
RANKED,29, 0, 3953
RANKED,29, 1, 8289
RANKED,29, 2, 4435
RANKED,29, 3, 7969
RANKED,29, 4, 4476
RANKED,29, 5, 9775
RANKED,30, 0, 8107
RANKED,30, 1, 9400
RANKED,30, 2, 4910
RANKED,30, 3, 2199
RANKED,30, 4, 6230
RANKED,31, 0, 6132
RANKED,31, 1, 9753
RANKED,32, 0, 9382
RANKED,32, 1, 1497
RANKED,32, 2, 8948
RANKED,32, 3, 5384
RANKED,32, 4, 5073
RANKED,32, 5, 6062
RANKED,32, 6, 2377
RANKED,32, 7, 1381
RANKED,33, 0, 144
RANKED,33, 1, 6590
RANKED,33, 2, 7815
RANKED,33, 3, 473
RANKED,33, 4, 5734
RANKED,33, 5, 2806
RANKED,33, 6, 6811
RANKED,34, 0, 3652
RANKED,34, 1, 931
RANKED,34, 2, 1338
RANKED,34, 3, 8696
RANKED,34, 4, 5667
RANKED,34, 5, 2264
RANKED,34, 6, 2410
RANKED,34, 7, 9161
RANKED,35, 0, 7262
RANKED,35, 1, 9374
RANKED,36, 0, 9644
RANKED,36, 1, 1097
RANKED,36, 2, 3207
RANKED,36, 3, 6147
RANKED,36, 4, 7336
RANKED,37, 0, 1549
RANKED,37, 1, 2488
RANKED,37, 2, 6141
RANKED,37, 3, 7811
RANKED,37, 4, 1767
RANKED,37, 5, 4922
RANKED,37, 6, 8295
RANKED,38, 0, 8937
RANKED,38, 1, 4475
RANKED,38, 2, 6576
RANKED,38, 3, 9177
RANKED,39, 0, 6286
RANKED,39, 1, 1792
RANKED,39, 2, 2968
RANKED,39, 3, 5067
RANKED,40, 0, 1314
RANKED,40, 1, 468
RANKED,40, 2, 1916
RANKED,40, 3, 5167
RANKED,40, 4, 5550
RANKED,40, 5, 6281
RANKED,41, 0, 61
RANKED,41, 1, 9383
RANKED,41, 2, 6506
RANKED,41, 3, 4412
RANKED,41, 4, 7716
RANKED,42, 0, 4034
RANKED,42, 1, 1929
RANKED,42, 2, 6563
RANKED,42, 3, 3494
RANKED,42, 4, 5214
RANKED,43, 0, 6917
RANKED,43, 1, 6659
RANKED,43, 2, 5430
RANKED,44, 0, 9797
RANKED,44, 1, 5685
RANKED,45, 0, 5425
RANKED,45, 1, 855
RANKED,45, 2, 5255
RANKED,45, 3, 4559
RANKED,45, 4, 842
RANKED,45, 5, 4024
RANKED,45, 6, 1660
RANKED,45, 7, 6336
RANKED,45, 8, 1794
RANKED,45, 9, 8722
RANKED,45, 10, 8985
RANKED,46, 0, 9425
RANKED,46, 1, 3651
RANKED,46, 2, 7099
RANKED,47, 0, 2814
RANKED,47, 1, 6003
RANKED,47, 2, 7498
RANKED,47, 3, 3936
RANKED,47, 4, 6755
RANKED,47, 5, 3714
RANKED,47, 6, 1562
RANKED,47, 7, 4153
RANKED,48, 0, 5659
RANKED,48, 1, 2966
RANKED,48, 2, 9902
RANKED,48, 3, 6024
RANKED,48, 4, 602
RANKED,49, 0, 355
RANKED,49, 1, 9212
RANKED,49, 2, 2
RANKED,49, 3, 6823
RANKED,49, 4, 1745
RANKED,49, 5, 5812
RANKED,49, 6, 5346
RANKED,50, 0, 6886
RANKED,50, 1, 7911
RANKED,50, 2, 664
RANKED,50, 3, 7897
RANKED,50, 4, 6443
RANKED,50, 5, 6171
RANKED,51, 0, 5760
RANKED,51, 1, 6288
RANKED,51, 2, 6612
RANKED,51, 3, 1121
RANKED,51, 4, 5147
RANKED,52, 0, 9154
RANKED,52, 1, 9371
RANKED,52, 2, 3791
RANKED,52, 3, 9832
RANKED,52, 4, 6151
RANKED,52, 5, 9473
RANKED,52, 6, 6313
RANKED,52, 7, 9779
RANKED,52, 8, 7053
RANKED,53, 0, 7875
RANKED,53, 1, 9656
RANKED,53, 2, 1825
RANKED,53, 3, 6943
RANKED,53, 4, 2548
RANKED,53, 5, 8331
RANKED,53, 6, 3690
RANKED,53, 7, 9576
RANKED,53, 8, 9063
RANKED,54, 0, 7296
RANKED,54, 1, 8355
RANKED,54, 2, 6066
RANKED,54, 3, 8053
RANKED,54, 4, 6989
RANKED,54, 5, 5702
RANKED,55, 0, 42
RANKED,55, 1, 7471
RANKED,55, 2, 9321
RANKED,55, 3, 5805
RANKED,55, 4, 6969
RANKED,55, 5, 2916
RANKED,56, 0, 3235
RANKED,56, 1, 7082
RANKED,56, 2, 5336
RANKED,56, 3, 6716
RANKED,56, 4, 3890
RANKED,56, 5, 9457
RANKED,56, 6, 9959
RANKED,57, 0, 5093
RANKED,57, 1, 7324
RANKED,57, 2, 5483
RANKED,57, 3, 5274
RANKED,57, 4, 9736
RANKED,57, 5, 1155
RANKED,57, 6, 7777
RANKED,58, 0, 2910
RANKED,59, 0, 1139
RANKED,59, 1, 3710
RANKED,59, 2, 174
RANKED,59, 3, 5229
RANKED,60, 0, 3690
RANKED,60, 1, 7968
RANKED,60, 2, 1498
RANKED,60, 3, 9843
RANKED,60, 4, 3472
RANKED,60, 5, 9866
RANKED,60, 6, 7224
RANKED,60, 7, 1328
RANKED,60, 8, 4744
RANKED,61, 0, 646
RANKED,61, 1, 350
RANKED,61, 2, 1800
RANKED,61, 3, 4477
RANKED,61, 4, 41
RANKED,61, 5, 1440
RANKED,61, 6, 4409
RANKED,61, 7, 742
RANKED,61, 8, 4331
RANKED,62, 0, 9724
RANKED,62, 1, 640
RANKED,62, 2, 3551
RANKED,62, 3, 4504
RANKED,62, 4, 6375
RANKED,63, 0, 198
RANKED,63, 1, 83
RANKED,63, 2, 2047
RANKED,63, 3, 9637
RANKED,63, 4, 2909
RANKED,63, 5, 1952
RANKED,64, 0, 2106
RANKED,64, 1, 1978
RANKED,64, 2, 5885
RANKED,64, 3, 9946
RANKED,65, 0, 8214
RANKED,65, 1, 9400
RANKED,65, 2, 6603
RANKED,65, 3, 8823
RANKED,65, 4, 7626
RANKED,65, 5, 6331
RANKED,65, 6, 5905
RANKED,66, 0, 2740
RANKED,66, 1, 1404
RANKED,66, 2, 8416
RANKED,67, 0, 9610
RANKED,67, 1, 5916
RANKED,67, 2, 8727
RANKED,67, 3, 7989
RANKED,67, 4, 3611
RANKED,67, 5, 442
RANKED,67, 6, 5187
RANKED,67, 7, 1933
RANKED,67, 8, 6832
RANKED,68, 0, 6049
RANKED,68, 1, 8913
RANKED,69, 0, 2909
RANKED,69, 1, 6322
RANKED,69, 2, 5087
RANKED,69, 3, 8456
RANKED,69, 4, 9125
RANKED,70, 0, 9027
RANKED,70, 1, 128
RANKED,70, 2, 9682
RANKED,70, 3, 368
RANKED,70, 4, 8286
RANKED,70, 5, 8860
RANKED,70, 6, 9916
RANKED,71, 0, 4800
RANKED,72, 0, 5615
RANKED,72, 1, 970
RANKED,72, 2, 100
RANKED,72, 3, 4375
RANKED,72, 4, 9622
RANKED,72, 5, 8476
RANKED,72, 6, 9822
RANKED,72, 7, 2175
RANKED,72, 8, 6109
RANKED,73, 0, 7247
RANKED,74, 0, 2427
RANKED,74, 1, 6947
RANKED,74, 2, 7438
RANKED,74, 3, 4382
RANKED,74, 4, 8015
RANKED,75, 0, 2002
RANKED,75, 1, 1420
RANKED,75, 2, 5711
RANKED,75, 3, 1897
RANKED,75, 4, 3218
RANKED,76, 0, 8528
RANKED,76, 1, 329
RANKED,76, 2, 1743
RANKED,76, 3, 2173
RANKED,76, 4, 2034
RANKED,76, 5, 654
RANKED,76, 6, 4713
RANKED,76, 7, 3884
RANKED,77, 0, 985
RANKED,77, 1, 9217
RANKED,77, 2, 5270
RANKED,77, 3, 7078
RANKED,77, 4, 8910
RANKED,78, 0, 2831
RANKED,78, 1, 2102
RANKED,79, 0, 1474
RANKED,79, 1, 9051
RANKED,79, 2, 5170
RANKED,79, 3, 5281
RANKED,79, 4, 8014
RANKED,79, 5, 4029
RANKED,79, 6, 9030
RANKED,79, 7, 8799
RANKED,79, 8, 4023
RANKED,79, 9, 7554
RANKED,80, 0, 6174
RANKED,80, 1, 6503
RANKED,80, 2, 4940
RANKED,80, 3, 7734
RANKED,80, 4, 9868
RANKED,80, 5, 3635
RANKED,80, 6, 6269
RANKED,81, 0, 1125
RANKED,81, 1, 4492
RANKED,81, 2, 3203
RANKED,81, 3, 5775
RANKED,82, 0, 8571
RANKED,82, 1, 9583
RANKED,82, 2, 137
RANKED,82, 3, 3183
RANKED,82, 4, 5979
RANKED,82, 5, 349
RANKED,82, 6, 2845
RANKED,83, 0, 2563
RANKED,83, 1, 9450
RANKED,83, 2, 633
RANKED,83, 3, 2720
RANKED,83, 4, 9851
RANKED,83, 5, 4543
RANKED,83, 6, 8090
RANKED,84, 0, 8183
RANKED,84, 1, 3955
RANKED,84, 2, 674
RANKED,85, 0, 1192
RANKED,85, 1, 9392
RANKED,85, 2, 2666
RANKED,85, 3, 3001
RANKED,85, 4, 3611
RANKED,86, 0, 5820
RANKED,86, 1, 7138
RANKED,86, 2, 207
RANKED,86, 3, 8215
RANKED,86, 4, 1291
RANKED,86, 5, 8945
RANKED,86, 6, 4912
RANKED,87, 0, 4653
RANKED,87, 1, 7588
RANKED,87, 2, 5077
RANKED,87, 3, 7882
RANKED,87, 4, 9229
RANKED,87, 5, 3045
RANKED,88, 0, 3412
RANKED,89, 0, 3350
RANKED,89, 1, 5689
RANKED,89, 2, 4529
RANKED,89, 3, 5048
RANKED,90, 0, 7900
RANKED,90, 1, 7371
RANKED,90, 2, 8833
RANKED,90, 3, 5361
RANKED,90, 4, 9037
RANKED,90, 5, 4435
RANKED,90, 6, 1708
RANKED,90, 7, 9968
RANKED,90, 8, 4751
RANKED,90, 9, 5322
RANKED,90, 10, 6169
RANKED,91, 0, 8345
RANKED,92, 0, 7574
RANKED,92, 1, 6365
RANKED,92, 2, 6021
RANKED,92, 3, 9391
RANKED,92, 4, 7007
RANKED,92, 5, 1725
RANKED,92, 6, 2008
RANKED,92, 7, 9493
RANKED,92, 8, 153
RANKED,92, 9, 4505
RANKED,92, 10, 5714
RANKED,93, 0, 9540
RANKED,93, 1, 7819
RANKED,93, 2, 1522
RANKED,93, 3, 9157
RANKED,94, 0, 7422
RANKED,94, 1, 5562
RANKED,94, 2, 5965
RANKED,94, 3, 5870
RANKED,94, 4, 9515
RANKED,94, 5, 3048
RANKED,95, 0, 7722
RANKED,95, 1, 3465
RANKED,95, 2, 6414
RANKED,95, 3, 5192
RANKED,95, 4, 6990
RANKED,95, 5, 225
RANKED,96, 0, 8851
RANKED,96, 1, 3073
RANKED,96, 2, 3418
RANKED,96, 3, 5261
RANKED,96, 4, 4689
RANKED,97, 0, 3164
RANKED,97, 1, 4263
RANKED,97, 2, 6006
RANKED,97, 3, 2626
RANKED,97, 4, 7068
RANKED,97, 5, 5175
RANKED,97, 6, 3926
RANKED,97, 7, 9604
RANKED,97, 8, 1783
RANKED,97, 9, 5420
RANKED,98, 0, 6120
RANKED,98, 1, 8490
RANKED,98, 2, 6441
RANKED,98, 3, 9001
RANKED,98, 4, 4612
RANKED,98, 5, 3113
RANKED,99, 0, 8382
RANKED,99, 1, 6707
RANKED,99, 2, 3628
RANKED,100, 0, 4987
RANKED,100, 1, 33
RANKED,100, 2, 72
RANKED,100, 3, 8505
RANKED,100, 4, 5240
RANKED,100, 5, 1961
RANKED,101, 0, 3060
RANKED,101, 1, 7312
RANKED,102, 0, 6355
RANKED,102, 1, 2989
RANKED,102, 2, 4733
RANKED,103, 0, 2674
RANKED,103, 1, 8376
RANKED,103, 2, 6450
RANKED,103, 3, 6524
RANKED,104, 0, 3116
RANKED,104, 1, 3703
RANKED,104, 2, 8438
RANKED,104, 3, 3259
RANKED,104, 4, 5929
RANKED,105, 0, 7098
RANKED,105, 1, 4962
RANKED,105, 2, 5560
RANKED,105, 3, 5205
RANKED,105, 4, 1800
RANKED,105, 5, 4044
RANKED,106, 0, 647
RANKED,106, 1, 3251
RANKED,106, 2, 5378
RANKED,106, 3, 8400
RANKED,106, 4, 4360
RANKED,106, 5, 2037
RANKED,107, 0, 5270
RANKED,107, 1, 27
RANKED,107, 2, 2591
RANKED,107, 3, 7041
RANKED,107, 4, 5564
RANKED,107, 5, 17
RANKED,107, 6, 5683
RANKED,107, 7, 8376
RANKED,108, 0, 3274
RANKED,108, 1, 6272
RANKED,108, 2, 7436
RANKED,108, 3, 8331
RANKED,108, 4, 8849
RANKED,108, 5, 1814
RANKED,108, 6, 4600
RANKED,108, 7, 8723
RANKED,108, 8, 460
RANKED,108, 9, 788
RANKED,108, 10, 6638
RANKED,109, 0, 2194
RANKED,109, 1, 8488
RANKED,109, 2, 4681
RANKED,109, 3, 5633
RANKED,109, 4, 907
RANKED,109, 5, 5772
RANKED,110, 0, 8968
RANKED,110, 1, 7118
RANKED,110, 2, 3608
RANKED,110, 3, 110
RANKED,110, 4, 7205
RANKED,110, 5, 362
RANKED,111, 0, 8446
RANKED,111, 1, 1412
RANKED,111, 2, 6119
RANKED,111, 3, 6084
RANKED,112, 0, 7202
RANKED,113, 0, 3550
RANKED,113, 1, 6984
RANKED,113, 2, 6081
RANKED,113, 3, 9696
RANKED,113, 4, 8406
RANKED,113, 5, 7749
RANKED,114, 0, 3686
RANKED,114, 1, 2645
RANKED,114, 2, 8342
RANKED,114, 3, 7524
RANKED,115, 0, 176
RANKED,115, 1, 3562
RANKED,115, 2, 3332
RANKED,115, 3, 8059
RANKED,115, 4, 1799
RANKED,115, 5, 8030
RANKED,115, 6, 2332
RANKED,116, 0, 9961
RANKED,116, 1, 4
RANKED,116, 2, 5997
RANKED,116, 3, 4056
RANKED,116, 4, 6862
RANKED,116, 5, 3542
RANKED,116, 6, 7368
RANKED,116, 7, 7110
RANKED,117, 0, 7024
RANKED,117, 1, 7796
RANKED,117, 2, 2792
RANKED,117, 3, 8686
RANKED,117, 4, 3094
RANKED,117, 5, 2407
RANKED,117, 6, 435
RANKED,117, 7, 6688
RANKED,117, 8, 625
RANKED,117, 9, 6708
RANKED,117, 10, 4449
RANKED,117, 11, 5879
RANKED,117, 12, 3105
RANKED,117, 13, 7942
RANKED,117, 14, 1332
RANKED,117, 15, 2940
RANKED,118, 0, 7830
RANKED,118, 1, 8700
RANKED,118, 2, 7640
RANKED,118, 3, 4936
RANKED,118, 4, 8372
RANKED,118, 5, 4664
RANKED,118, 6, 5761
RANKED,118, 7, 8829
RANKED,118, 8, 4669
RANKED,118, 9, 9700
RANKED,118, 10, 4318
RANKED,119, 0, 6209
RANKED,119, 1, 477
RANKED,119, 2, 2120
RANKED,119, 3, 3748
RANKED,119, 4, 8881
RANKED,119, 5, 389
RANKED,119, 6, 1449
RANKED,120, 0, 1540
RANKED,120, 1, 4506
RANKED,120, 2, 4031
RANKED,120, 3, 7074
RANKED,120, 4, 4446
RANKED,120, 5, 9596
RANKED,121, 0, 7757
RANKED,121, 1, 6827
RANKED,121, 2, 3080
RANKED,121, 3, 1215
RANKED,121, 4, 1011
RANKED,121, 5, 4738
RANKED,121, 6, 4811
RANKED,121, 7, 1561
RANKED,121, 8, 8643
RANKED,121, 9, 5551
RANKED,121, 10, 6465
RANKED,122, 0, 1316
RANKED,122, 1, 812
RANKED,122, 2, 1001
RANKED,122, 3, 8616
RANKED,122, 4, 2472
RANKED,123, 0, 8833
RANKED,123, 1, 420
RANKED,123, 2, 5181
RANKED,123, 3, 2004
RANKED,123, 4, 1874
RANKED,123, 5, 7602
RANKED,123, 6, 1849
RANKED,123, 7, 6423
RANKED,123, 8, 9876
RANKED,123, 9, 5259
RANKED,123, 10, 722
RANKED,124, 0, 3110
RANKED,124, 1, 7281
RANKED,124, 2, 3559
RANKED,124, 3, 3802
RANKED,124, 4, 5559
RANKED,124, 5, 1205
RANKED,125, 0, 4458
RANKED,125, 1, 4381
RANKED,125, 2, 9988
RANKED,125, 3, 590
RANKED,126, 0, 8517
RANKED,126, 1, 8878
RANKED,127, 0, 3220
RANKED,128, 0, 3205
RANKED,128, 1, 6790
RANKED,128, 2, 567
RANKED,128, 3, 7193
RANKED,128, 4, 5103
RANKED,129, 0, 6249
RANKED,129, 1, 2714
RANKED,130, 0, 4829
RANKED,130, 1, 5083
RANKED,130, 2, 5009
RANKED,130, 3, 5237
RANKED,130, 4, 9472
RANKED,130, 5, 3402
RANKED,131, 0, 2258
RANKED,131, 1, 9688
RANKED,131, 2, 4365
RANKED,131, 3, 3330
RANKED,132, 0, 3147
RANKED,133, 0, 4942
RANKED,133, 1, 1677
RANKED,133, 2, 5613
RANKED,133, 3, 9729
RANKED,133, 4, 5511
RANKED,134, 0, 7114
RANKED,134, 1, 7397
RANKED,134, 2, 446
RANKED,134, 3, 5929
RANKED,134, 4, 8297
RANKED,134, 5, 765
RANKED,134, 6, 456
RANKED,134, 7, 6799
RANKED,135, 0, 5881
RANKED,136, 0, 3946
RANKED,136, 1, 6980
RANKED,136, 2, 6348
RANKED,136, 3, 445
RANKED,136, 4, 4211
RANKED,136, 5, 4899
RANKED,136, 6, 9077
RANKED,136, 7, 6562
RANKED,136, 8, 3594
RANKED,137, 0, 4029
RANKED,137, 1, 97
RANKED,137, 2, 4953
RANKED,137, 3, 7433
RANKED,137, 4, 1826
RANKED,137, 5, 82
RANKED,137, 6, 8557
RANKED,137, 7, 7805
RANKED,138, 0, 6433
RANKED,138, 1, 6791
RANKED,138, 2, 3843
RANKED,138, 3, 945
RANKED,138, 4, 7143
RANKED,138, 5, 6873
RANKED,138, 6, 9231
RANKED,139, 0, 427
RANKED,139, 1, 3521
RANKED,139, 2, 4913
RANKED,139, 3, 5527
RANKED,140, 0, 7149
RANKED,141, 0, 9535
RANKED,141, 1, 1334
RANKED,141, 2, 1763
RANKED,141, 3, 7295
RANKED,142, 0, 5676
RANKED,142, 1, 5554
RANKED,142, 2, 9323
RANKED,142, 3, 6901
RANKED,142, 4, 7896
RANKED,143, 0, 6143
RANKED,143, 1, 6058
RANKED,143, 2, 2752
RANKED,143, 3, 4245
RANKED,143, 4, 5921
RANKED,143, 5, 3791
RANKED,143, 6, 1674
RANKED,143, 7, 9643
RANKED,143, 8, 4736
RANKED,143, 9, 1103
RANKED,143, 10, 2802
RANKED,144, 0, 2168
RANKED,144, 1, 6102
RANKED,144, 2, 7267
RANKED,144, 3, 9718
RANKED,144, 4, 8318
RANKED,144, 5, 4331
RANKED,145, 0, 9894
RANKED,145, 1, 9971
RANKED,145, 2, 4649
RANKED,145, 3, 2147
RANKED,145, 4, 2819
RANKED,145, 5, 9639
RANKED,145, 6, 8674
RANKED,146, 0, 8309
RANKED,146, 1, 7651
RANKED,146, 2, 7473
RANKED,146, 3, 5382
RANKED,147, 0, 5577
RANKED,147, 1, 246
RANKED,147, 2, 3126
RANKED,147, 3, 6778
RANKED,147, 4, 9503
RANKED,148, 0, 3427
RANKED,148, 1, 3971
RANKED,149, 0, 5455
RANKED,149, 1, 7201
RANKED,149, 2, 5724
RANKED,149, 3, 2998
RANKED,149, 4, 9657
RANKED,150, 0, 1340
RANKED,150, 1, 7428
RANKED,151, 0, 1844
RANKED,151, 1, 5845
RANKED,151, 2, 4561
RANKED,152, 0, 5820
RANKED,152, 1, 7019
RANKED,152, 2, 2378
RANKED,152, 3, 9220
RANKED,152, 4, 3394
RANKED,153, 0, 9021
RANKED,153, 1, 92
RANKED,153, 2, 9126
RANKED,153, 3, 6480
RANKED,153, 4, 3190
RANKED,154, 0, 1594
RANKED,154, 1, 8777
RANKED,154, 2, 9861
RANKED,154, 3, 3520
RANKED,154, 4, 867
RANKED,154, 5, 1965
RANKED,155, 0, 3364
RANKED,155, 1, 9777
RANKED,155, 2, 4088
RANKED,155, 3, 4949
RANKED,155, 4, 6856
RANKED,155, 5, 9567
RANKED,155, 6, 9977
RANKED,156, 0, 813
RANKED,157, 0, 6829
RANKED,157, 1, 7743
RANKED,157, 2, 6826
RANKED,157, 3, 9616
RANKED,157, 4, 8286
RANKED,157, 5, 1540
RANKED,158, 0, 4684
RANKED,158, 1, 3397
RANKED,158, 2, 3289
RANKED,158, 3, 7865
RANKED,158, 4, 3256
RANKED,158, 5, 2099
RANKED,158, 6, 8739
RANKED,158, 7, 7127
RANKED,159, 0, 2317
RANKED,159, 1, 6512
RANKED,159, 2, 6254
RANKED,159, 3, 9822
RANKED,159, 4, 6491
RANKED,159, 5, 1892
RANKED,159, 6, 8210
RANKED,160, 0, 1154
RANKED,160, 1, 9445
RANKED,160, 2, 2656
RANKED,160, 3, 6690
RANKED,160, 4, 1331
RANKED,160, 5, 2296
RANKED,160, 6, 3000
RANKED,161, 0, 2453
RANKED,161, 1, 5008
RANKED,161, 2, 5920
RANKED,161, 3, 9484
RANKED,162, 0, 1339
RANKED,162, 1, 9399
RANKED,162, 2, 3378
RANKED,162, 3, 7825
RANKED,162, 4, 55
RANKED,162, 5, 959
RANKED,162, 6, 1760
RANKED,162, 7, 6255
RANKED,162, 8, 4412
RANKED,163, 0, 4651
RANKED,163, 1, 8616
RANKED,163, 2, 4535
RANKED,163, 3, 5630
RANKED,163, 4, 6070
RANKED,163, 5, 2962
RANKED,163, 6, 3711
RANKED,164, 0, 8644
RANKED,164, 1, 1298
RANKED,164, 2, 5166
RANKED,164, 3, 7959
RANKED,164, 4, 7462
RANKED,164, 5, 6377
RANKED,164, 6, 1074
RANKED,164, 7, 8998
RANKED,164, 8, 9805
RANKED,165, 0, 3630
RANKED,165, 1, 9373
RANKED,165, 2, 7798
RANKED,165, 3, 8296
RANKED,165, 4, 9546
RANKED,166, 0, 702
RANKED,166, 1, 1778
RANKED,166, 2, 477
RANKED,166, 3, 9943
RANKED,166, 4, 1398
RANKED,166, 5, 7984
RANKED,166, 6, 9929
RANKED,167, 0, 2384
RANKED,167, 1, 2555
RANKED,167, 2, 705
RANKED,167, 3, 2347
RANKED,167, 4, 1985
RANKED,167, 5, 9748
RANKED,168, 0, 9566
RANKED,168, 1, 7961
RANKED,168, 2, 8356
RANKED,169, 0, 9517
RANKED,169, 1, 3836
RANKED,169, 2, 7253
RANKED,170, 0, 1061
RANKED,170, 1, 9244
RANKED,170, 2, 3260
RANKED,170, 3, 1640
RANKED,170, 4, 3003
RANKED,170, 5, 8511
RANKED,171, 0, 1143
RANKED,171, 1, 194
RANKED,171, 2, 2103
RANKED,171, 3, 9142
RANKED,171, 4, 9805
RANKED,171, 5, 2323
